Alpha,IC_Mean_20D,IC_Std_20D,IC_IR_20D,IC_Winrate_20D,IC_Skew_20D,IC_MaxDD_20D,IC_tStat_20D,LS_Sharpe_20D,LS_AnnRet_20D,LS_MaxDD_20D,LS_Calmar_20D,LS_MeanRet_20D,Monotonicity_20D,Q_Spread_20D
alpha088,0.0346739663760904,0.1714089725679792,0.2022879307694298,0.5508932280847528,0.3121456754500655,-9.89853879738913,9.92448585532224,0.4012448058458208,0.3305015563964844,-0.9998202252251228,0.3305609829227725,0.002473063301295,0.3,0.0022680690047094
alpha098,0.0334030569538644,0.1416487430231621,0.2358161197971408,0.5821364452423698,0.1830134532420773,-8.223573161198587,11.130920535587698,3.6109213580847,2.3618664741516118,-0.9918946679186024,2.3811666203506934,0.0056672194041311,1.0,0.0051506081767186
alpha054,0.0333629688322368,0.1214207986565796,0.2747714493840465,0.6100082712985939,0.1544295087900656,-4.042433193467282,13.511381381672347,7.767458349525969,4.5790557861328125,-0.797464427588939,5.742018863433407,0.0075257648713886,0.3999999999999999,0.0073737316016656
alpha084,0.0329973525958562,0.1322323705197569,0.2495406568463969,0.5872093023255814,0.0454054804533019,-8.211130121415856,12.24530354551285,1.135666052441895,0.6842097043991089,-0.9921489685933808,0.6896239637976415,0.0027915155515074,0.3,0.0023809020447997
alpha062,0.0329629607167439,0.1043561997880204,0.3158696923010023,0.6384647131654974,-0.175289555815308,-6.045539377518622,15.548362752142792,2.7729757615090214,1.3582086563110352,-0.9708184076548362,1.3990347171022444,0.0038881904911249,1.0,0.0033746009895394
alpha139,0.032536926463149,0.1056100658832775,0.3080854669583254,0.6203473945409429,-0.0583929310137775,-5.425347281717315,15.149537011781826,3.281513952093579,1.6274657249450684,-0.8936361152368516,1.821172731491185,0.004329752177,1.0,0.0041283981456797
alpha106,0.0323048900079206,0.1687118773562373,0.1914796427741032,0.5479850436227669,0.2385319548016218,-10.153711636493412,9.394218424527605,1.022120063590949,0.800055980682373,-0.998197905920101,0.8015003597356896,0.0035459164064377,0.0999999999999999,0.0033979099543742
alpha040,0.0322823549471997,0.1354451627414957,0.2383426199488003,0.5757701915070774,0.3497308963707574,-9.41648341551939,11.68122019185958,0.0812936570562243,0.0537294149398803,-0.9996642974611823,0.0537474580980188,0.0010729078203439,0.7,0.0010896117755731
alpha151,0.0322484127604374,0.1767377614984777,0.1824647573162524,0.555463232239302,0.1963965492397466,-12.880525110294254,8.951937449713704,0.2651245304858779,0.2190046310424804,-0.9998486586950048,0.2190377805060255,0.0021362507250159,0.7,0.0022769798263977
alpha113,0.0321461380346522,0.0769588705194549,0.4177054291165284,0.6634815122559202,0.1694752398086704,-1.9713311706786956,20.493123871455264,6.948880509263207,2.3103489875793457,-0.6625915188880495,3.486837548806143,0.0049798605032265,0.3,0.0047752313021898
alpha164,0.0311574468325364,0.2249345948053424,0.1385178071852396,0.5384933774834437,0.1723058938641507,-43.90872870560229,6.808541246426862,-0.5384605631948275,-0.5560564994812012,-0.9999999838886876,-0.5560565084400013,-0.0011047406587749,-0.0999999999999999,-0.0012168992368638
alpha105,0.030971744823249,0.1080966965886067,0.2865188835614563,0.6153846153846154,-0.1410839942520435,-5.397086233614473,14.089039882156609,2.20299935125768,1.125880479812622,-0.9487564631685836,1.186690708859567,0.0035187844187021,1.0,0.00313542751418
alpha055,0.0309111292937566,0.1721382483465912,0.1795715338726969,0.5494186046511628,0.3131778882385143,-12.317232104920793,8.811822362710377,1.4139117046192953,1.1074891090393066,-0.9960058615353368,1.1119303126711717,0.0041686417534947,0.8999999999999998,0.0039171044594432
alpha116,0.0305961517123296,0.1671647520658519,0.1830299230801763,0.5560631229235881,0.2183805921770201,-10.754115933150317,8.98153028188997,1.05753873950399,0.8095399141311646,-0.9967015727350648,0.8122189592915893,0.0035145480651408,0.6,0.0033722778086963
alpha175,0.0305584430087335,0.1507216041125328,0.2027475967275257,0.5962837837837838,-0.1415158340555272,-12.296457001846548,9.86612387585766,9.704937605001655,6.665473937988281,-0.9761510928733914,6.828321954102249,0.0090560363605618,1.0,0.0086110633258652
alpha148,0.0304890336343953,0.0923562034428692,0.3301243717023906,0.623574144486692,0.2505355085832604,-2.9704489770166878,16.263442397657908,,0.0,,,,0.6,0.0061596915185881
alpha157,0.0304345533416001,0.1294398933991261,0.2351249876864133,0.5977676725919802,0.0755824135122056,-2.8472596599602724,11.564229980406935,4.811050134693721,2.915572166442871,-0.8023184747223888,3.633933728687591,0.0061544822528958,1.0,0.0059633035162895
alpha161,0.0303372179127552,0.2357053152192804,0.128708246924903,0.5331125827814569,0.171596862666163,-44.374059167171225,6.326373668127744,-0.5753754381653412,-0.6219951510429382,-0.9999999953492608,-0.6219951539356755,-0.001541108242236,-0.0999999999999999,-0.0015382754412196
alpha147,0.0302269222646064,0.1645619431904221,0.1836811213977311,0.5524126455906821,0.2131652369858673,-10.708005693693096,9.005996084634893,1.1250045389477892,0.8447595834732056,-0.9934231926534958,0.8503521859770554,0.0035477534402161,0.7,0.0034995127171096
alpha071,0.0296316268145839,0.1736541755804961,0.170635844001623,0.5495008319467554,0.3145376648171282,-10.052201599385942,8.366378271664717,0.0457997528585195,0.0378512144088745,-0.9997705903171852,0.0378598998364873,0.0014986507594585,0.3,0.0013361961912367
alpha005,0.0291100249431679,0.0960123286734645,0.3031904896523281,0.629232039636664,0.0566589880525968,-5.288839627935751,14.921161940138171,1.161041009173988,0.5438423156738281,-0.9759157875894438,0.5572635698589765,0.0021655883174389,0.7,0.0017632117977849
alpha158,0.028287674455057,0.1839942691470254,0.1537421496125678,0.5517099299546766,0.0041182454145388,-22.23840549138465,7.574044234971562,-0.798776613527992,-0.7213031053543091,-0.9999999849592875,-0.7213031162032217,-0.0034004873596131,-0.8999999999999998,-0.0040322030745542
alpha156,0.0278747833518585,0.1302187538069721,0.2140612049872506,0.5924855491329479,-0.1853273363470632,-4.867660896301588,10.534769439432363,1.985733567085584,1.237668752670288,-0.9340714036132894,1.3250258469348126,0.0039744484238326,0.3999999999999999,0.0039692659752817
alpha056,0.0276176791096797,0.0975169971605955,0.2832088755173383,0.6015919564306661,0.0149613393472696,-6.237176303293083,13.952169631492696,,0.0,,,,-0.0999999999999999,-0.0018942269247169
alpha061,0.0275489272592892,0.1217456393442257,0.2262826611916414,0.5811674478057094,0.1073005856600054,-10.03716946455864,10.962454969041575,1.676646168047493,0.9660043716430664,-0.9640092437749702,1.0020696148724502,0.0033420089166611,0.3999999999999999,0.0032489558193726
alpha027,0.0268883111098434,0.1715147034336886,0.156769714616561,0.5504966887417219,0.248902270911393,-9.565960235512094,7.705674020164265,0.016778384052001,0.0135567188262939,-0.9996956967187842,0.0135608454360561,0.0013487057294696,0.0999999999999999,0.0010787829414298
alpha075,0.0266873751241673,0.1324391135835375,0.2015067482865174,0.5824222035323802,-0.0052261864571398,-16.9755656868275,9.82642446267736,1.642869622344538,1.021660089492798,-0.9864740640679388,1.035668474931578,0.0035594224464148,0.8999999999999998,0.003368164785082
alpha118,0.0266092985110569,0.1463349721613912,0.1818382722737654,0.5577242524916943,0.2717553312928095,-10.27349555876847,8.923054336410114,-0.5593505065201759,-0.3881002068519592,-0.9996114834586248,-0.3882510488066268,-0.000985468737781,-0.3999999999999999,-0.0012526861739275
alpha064,0.0265603682869028,0.0855024796985758,0.310638573062873,0.6366708914237431,-0.1467661872973436,-3.474841045966216,15.11313325281794,0.7651364068958549,0.308998703956604,-0.3631420106384639,0.8509032139061327,0.0056972838938236,-0.0999999999999999,-0.0010570815887571
alpha077,0.0259323551197256,0.0857487221272432,0.3024226423018228,0.6145789694176791,0.1469261012078173,-5.709519204083166,14.775443075416064,16.632857168732617,6.919495582580566,-0.6931730061551492,9.98235003547125,0.0085823712870478,0.7,0.0091649887666214
alpha090,0.0256094611895808,0.0912955935202172,0.2805114705115494,0.6223689640940983,-0.1033793973101125,-3.2312319142022474,13.807890424303096,2.951802260324275,1.2709245681762695,-0.7265629493797435,1.7492284312890436,0.0036270976997911,1.0,0.003522078558324
alpha103,0.025031439114849,0.1306062586173364,0.1916557397772849,0.5602159468438538,0.3781005073238909,-7.12239467096768,9.404810981391634,-0.1614155779562421,-0.0977838039398193,-0.9984255386540686,-0.0979380035406918,0.0002645293716341,0.6,9.609104011274253e-05
alpha074,0.0247734338945184,0.0933028511396319,0.2655163651692047,0.6095517385839967,0.3794437932533186,-5.260227432212339,12.97231552931684,2.665906984446688,1.1612820625305176,-0.9544455535097772,1.2167085469256382,0.003438564017415,1.0,0.0029717758477346
alpha067,0.0243243133259304,0.1671801906913061,0.1454975809355585,0.517724649629019,0.3823766942849061,-17.435529649546726,7.1664020775385735,-0.9256169153654008,-0.7338643670082092,-0.9999999953566032,-0.7338643704158326,-0.0039985897019505,-0.8999999999999998,-0.0035556377438134
alpha177,0.0242699888680374,0.2317955724756246,0.1047042814874717,0.5232558139534884,0.1623418867953028,-46.72580721114871,5.137983226990235,-0.6990618087081778,-0.7427049875259399,-0.9999999987684758,-0.7427049884405991,-0.0031387484632432,-0.7,-0.0031497252405608
alpha133,0.0241262563322073,0.1441989993167161,0.1673122313367574,0.5473421926910299,0.3189990472923424,-8.512685467321404,8.21024151129321,0.0525673212332705,0.0357767343521118,-0.9988187992277102,0.0358190438343516,0.001053599640727,0.8999999999999998,0.0012288995204841
alpha126,0.0239719269436718,0.215287722355052,0.1113483234503144,0.530696332921302,0.2660605064698055,-46.39633688758022,5.485529696494252,0.0852796841441308,0.0835782289505004,-0.999999891257629,0.0835782380389962,0.0021879747509956,0.3999999999999999,0.0023699270193351
alpha152,0.0232206054484711,0.1579150984444481,0.1470448720686433,0.5666111573688593,0.0722717770750402,-11.605192155027384,7.206699033041703,1.198939328972307,0.8529583215713501,-0.9936477175319308,0.8584111919362813,0.0034501515328884,0.7,0.0036933517064504
alpha153,0.0226687724950694,0.2162644383627449,0.104819695122721,0.5307820299500832,0.2654094242072304,-48.72877160705745,5.139372825494463,-0.040895836619289,-0.0400620102882385,-0.9999999249273168,-0.0400620132958013,0.0017029326409101,0.3,0.0019354646082548
alpha024,0.0223987220560331,0.1649287735565048,0.1358084558141659,0.5239471511147812,0.2293794829253154,-10.109935499837857,6.683652789924208,0.0854843396110604,0.0644197463989257,-0.9995806986267288,0.0644467690176777,0.0013725473545491,0.1999999999999999,0.0013442837569774
alpha134,0.0223973628083834,0.1513368959624724,0.1479967106893574,0.5511387163561077,0.1731216878404756,-7.796065518872663,7.272950480740915,-0.0812592284107858,-0.0562467575073242,-0.9974424236950746,-0.0563909817460493,0.0007226183661259,0.0999999999999999,0.0004019118995342
alpha046,0.021070457361181,0.1670489821396234,0.1261334076466857,0.531198003327787,0.2865514832408751,-8.316963775275735,6.184396996074417,-0.0968544204406039,-0.0763466954231262,-0.9990597005467984,-0.076418551745547,0.0009132431005127,0.0,0.0008222322239837
alpha190,0.020789844019379,0.1253545877335443,0.1658482900009232,0.5585548172757475,0.084934807393311,-11.010912247985305,8.13840389470335,45.19755992842692,28.311843872070312,-0.8627030299283099,32.81760106304832,0.0142505066469311,0.8999999999999998,0.0147782010810678
