         1522524 function calls (1487563 primitive calls) in 4.885 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    18478    0.047    0.000    0.071    0.000 _docscrape.py:80(is_empty)
       21    0.000    0.000    0.071    0.003 _distn_infrastructure.py:3319(__init__)
     2911    0.015    0.000    0.071    0.000 castgraph.py:39(insert)
    50703    0.071    0.000    0.071    0.000 {method 'append' of 'list' objects}
        9    0.000    0.000    0.071    0.008 typeconv.py:96(promote_unsafe)
    52337    0.069    0.000    0.069    0.000 {method 'strip' of 'str' objects}
      117    0.001    0.000    0.069    0.001 typing.py:580(__getitem__)
    31211    0.047    0.000    0.068    0.000 {method 'get' of 'dict' objects}
        2    0.000    0.000    0.067    0.034 array.py:1(<module>)
      4/3    0.001    0.000    0.067    0.022 utils.py:687(__init__)
      210    0.003    0.000    0.066    0.000 _docscrape.py:599(__str__)
     1462    0.007    0.000    0.066    0.000 <frozen importlib._bootstrap_external>:639(_get_cached)
      450    0.020    0.000    0.065    0.000 typing.py:260(_collect_type_parameters)
        1    0.000    0.000    0.065    0.065 callconv.py:1(<module>)
      105    0.006    0.000    0.064    0.001 typing.py:812(Literal)
       93    0.001    0.000    0.063    0.001 pydoc.py:202(getdoc)
    32123    0.053    0.000    0.062    0.000 {method 'join' of 'str' objects}
      213    0.007    0.000    0.062    0.000 _docscrape.py:548(__str__)
       93    0.001    0.000    0.061    0.001 pydoc.py:186(_getdoc)
    34563    0.050    0.000    0.061    0.000 {built-in method builtins.getattr}
    47067    0.060    0.000    0.060    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.060    0.060 _decomp.py:1(<module>)
        4    0.001    0.000    0.059    0.015 _typing.py:1(<module>)
        3    0.000    0.000    0.059    0.020 typeconv.py:110(unsafe_unsafe)
        1    0.000    0.000    0.056    0.056 _char_codes.py:1(<module>)
     6950    0.032    0.000    0.056    0.000 _docscrape.py:57(seek_next_non_empty_line)
     8576    0.033    0.000    0.055    0.000 _docscrape.py:91(peek)
     4909    0.031    0.000    0.055    0.000 _docscrape.py:86(is_unindented)
        1    0.000    0.000    0.054    0.054 _dtype_like.py:1(<module>)
       72    0.000    0.000    0.054    0.001 typing.py:1458(__or__)
     2926    0.031    0.000    0.053    0.000 <frozen importlib._bootstrap>:372(release)
     2926    0.013    0.000    0.053    0.000 <frozen importlib._bootstrap>:162(__enter__)
     1163    0.029    0.000    0.053    0.000 functools.py:36(update_wrapper)
        3    0.000    0.000    0.051    0.017 numeric.py:1(<module>)
        2    0.000    0.000    0.051    0.025 indexing.py:1(<module>)
        1    0.000    0.000    0.049    0.049 _rotation_groups.py:1(<module>)
    12210    0.032    0.000    0.048    0.000 _parser.py:167(__getitem__)
        2    0.000    0.000    0.048    0.024 _matfuncs.py:1(<module>)
        1    0.000    0.000    0.048    0.048 _linprog.py:1(<module>)
     2881    0.021    0.000    0.046    0.000 inspect.py:2763(__init__)
       12    0.000    0.000    0.046    0.004 castgraph.py:128(safe)
     5511    0.015    0.000    0.046    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
       22    0.000    0.000    0.045    0.002 decorators.py:202(wrapper)
        9    0.000    0.000    0.044    0.005 typeconv.py:84(unsafe)
        2    0.000    0.000    0.043    0.021 loader.py:1(<module>)
        1    0.000    0.000    0.043    0.043 _resampling.py:1(<module>)
       21    0.000    0.000    0.042    0.002 _distn_infrastructure.py:3380(_construct_docstrings)
        1    0.000    0.000    0.042    0.042 _mgc.py:1(<module>)
      131    0.001    0.000    0.042    0.000 _distn_infrastructure.py:683(__init__)
6884/6647    0.025    0.000    0.042    0.000 {built-in method __new__ of type object at 0xa13040}
       33    0.000    0.000    0.042    0.001 dataclasses.py:1294(wrap)
       33    0.004    0.000    0.042    0.001 dataclasses.py:929(_process_class)
        1    0.000    0.000    0.042    0.042 multiarray.py:1(<module>)
        1    0.000    0.000    0.041    0.041 shape_base.py:1(<module>)
        1    0.000    0.000    0.041    0.041 _kde.py:1(<module>)
        9    0.001    0.000    0.040    0.004 utils.py:1(<module>)
    29636    0.039    0.000    0.039    0.000 {method 'rstrip' of 'str' objects}
      287    0.006    0.000    0.039    0.000 overrides.py:142(decorator)
        1    0.001    0.001    0.038    0.038 _multivariate.py:1(<module>)
        2    0.000    0.000    0.038    0.019 module.py:1(<module>)
      270    0.007    0.000    0.037    0.000 _decorators.py:363(decorator)
        1    0.000    0.000    0.036    0.036 _distn_infrastructure.py:1(<module>)
     1560    0.005    0.000    0.036    0.000 <frozen importlib._bootstrap>:420(__exit__)
       22    0.001    0.000    0.036    0.002 dispatcher.py:757(__init__)
     2926    0.016    0.000    0.035    0.000 <frozen importlib._bootstrap>:124(setdefault)
        1    0.000    0.000    0.035    0.035 _linprog_ip.py:1(<module>)
     7571    0.015    0.000    0.035    0.000 {method 'add' of 'set' objects}
    26057    0.035    0.000    0.035    0.000 _docscrape.py:43(__getitem__)
        2    0.000    0.000    0.035    0.018 overrides.py:1(<module>)
        1    0.000    0.000    0.035    0.035 algorithms.py:1(<module>)
      143    0.001    0.000    0.035    0.000 _decorators.py:484(__call__)
        1    0.000    0.000    0.035    0.035 _ndimage_api.py:1(<module>)
     1917    0.018    0.000    0.035    0.000 _docscrape.py:475(_str_param_list)
        1    0.000    0.000    0.034    0.034 fromnumeric.py:1(<module>)
     2605    0.009    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
     1462    0.007    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:1616(_get_spec)
        1    0.000    0.000    0.034    0.034 value.py:1(<module>)
        1    0.000    0.000    0.034    0.034 parfor_lowering.py:1(<module>)
       33    0.000    0.000    0.034    0.001 dataclasses.py:1277(dataclass)
        1    0.000    0.000    0.034    0.034 ir_utils.py:1(<module>)
     2911    0.007    0.000    0.033    0.000 castgraph.py:48(get)
     1287    0.015    0.000    0.033    0.000 inspect.py:3051(__init__)
        1    0.000    0.000    0.032    0.032 _linprog_util.py:1(<module>)
     2926    0.017    0.000    0.032    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
     5606    0.031    0.000    0.032    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.031    0.031 _remove_redundancy.py:1(<module>)
        1    0.000    0.000    0.031    0.031 _codata.py:1(<module>)
        1    0.000    0.000    0.031    0.031 interpolative.py:1(<module>)
    24756    0.030    0.000    0.030    0.000 abstract.py:96(key)
        2    0.000    0.000    0.030    0.015 format.py:1(<module>)
       12    0.000    0.000    0.030    0.002 inspect.py:621(getmembers)
       12    0.011    0.001    0.030    0.002 inspect.py:579(_getmembers)
22995/22843    0.029    0.000    0.030    0.000 {built-in method builtins.hash}
        1    0.000    0.000    0.030    0.030 describe.py:1(<module>)
     5890    0.015    0.000    0.030    0.000 {built-in method builtins.max}
     1643    0.007    0.000    0.030    0.000 __init__.py:183(sub)
        1    0.000    0.000    0.029    0.029 _array_like.py:1(<module>)
       10    0.000    0.000    0.029    0.003 common.py:1(<module>)
     7138    0.018    0.000    0.028    0.000 _parser.py:260(get)
      695    0.008    0.000    0.028    0.000 typing.py:173(_type_check)
        1    0.000    0.000    0.027    0.027 cpu.py:1(<module>)
     2094    0.006    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
        1    0.000    0.000    0.027    0.027 _decomp_svd.py:1(<module>)
        9    0.000    0.000    0.027    0.003 typeconv.py:78(promote)
        9    0.000    0.000    0.027    0.003 castgraph.py:125(promote)
     3900    0.016    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
        1    0.000    0.000    0.026    0.026 series.py:1(<module>)
     2927    0.008    0.000    0.026    0.000 castgraph.py:65(__getitem__)
      110    0.002    0.000    0.026    0.000 _distn_infrastructure.py:1923(_attach_methods)
        1    0.000    0.000    0.026    0.026 take.py:1(<module>)
        1    0.000    0.000    0.026    0.026 _differentialevolution.py:1(<module>)
     2898    0.009    0.000    0.026    0.000 typing.py:1380(__setattr__)
        1    0.000    0.000    0.025    0.025 parfor.py:1(<module>)
        2    0.000    0.000    0.025    0.013 construction.py:1(<module>)
     2864    0.011    0.000    0.025    0.000 typing.py:1122(_is_unpacked_typevartuple)
      892    0.005    0.000    0.025    0.000 <frozen abc>:105(__new__)
      135    0.010    0.000    0.025    0.000 __init__.py:358(namedtuple)
     1462    0.011    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:830(spec_from_file_location)
     4100    0.015    0.000    0.025    0.000 typing.py:1306(_is_dunder)
     1304    0.024    0.000    0.024    0.000 {built-in method _io.open_code}
       17    0.000    0.000    0.024    0.001 functools.py:1009(__get__)
        2    0.000    0.000    0.024    0.012 utils.py:739(__get__)
       22    0.000    0.000    0.024    0.001 registry.py:25(target_context)
        2    0.000    0.000    0.024    0.012 extending.py:1(<module>)
        1    0.000    0.000    0.024    0.024 registry.py:15(_toplevel_target_context)
        1    0.000    0.000    0.024    0.024 cpu.py:41(__init__)
        1    0.000    0.000    0.024    0.024 base.py:225(__init__)
       37    0.003    0.000    0.024    0.001 enum.py:498(__new__)
        1    0.000    0.000    0.024    0.024 resolver.py:1(<module>)
     4259    0.023    0.000    0.024    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.000    0.000    0.024    0.024 typeref.py:1(<module>)
       34    0.000    0.000    0.024    0.001 doccer.py:283(decorate)
     6023    0.016    0.000    0.023    0.000 <frozen importlib._bootstrap>:1226(__exit__)
        1    0.000    0.000    0.023    0.023 _methods.py:1(<module>)
     6023    0.015    0.000    0.023    0.000 <frozen importlib._bootstrap>:1222(__enter__)
     3466    0.014    0.000    0.023    0.000 copy.py:232(_keep_alive)
     1301    0.006    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:727(_validate_timestamp_pyc)
        2    0.013    0.006    0.023    0.011 pickle.py:1(<module>)
        1    0.001    0.001    0.023    0.023 frame.py:513(DataFrame)
        6    0.003    0.000    0.023    0.004 _docscrape.py:694(properties)
     1309    0.023    0.000    0.023    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.023    0.023 _hypotests.py:1(<module>)
     2238    0.007    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
        1    0.000    0.000    0.022    0.022 _minimize.py:1(<module>)
        3    0.000    0.000    0.022    0.007 datetimes.py:1(<module>)
        1    0.000    0.000    0.022    0.022 _filters.py:1(<module>)
        2    0.000    0.000    0.022    0.011 _aliases.py:1(<module>)
        1    0.000    0.000    0.022    0.022 _svds.py:1(<module>)
      131    0.001    0.000    0.021    0.000 _distn_infrastructure.py:735(_attach_argparser_methods)
     3171    0.008    0.000    0.021    0.000 abstract.py:127(__ne__)
    16512    0.021    0.000    0.021    0.000 {built-in method builtins.id}
       64    0.001    0.000    0.021    0.000 _internal.py:31(inner)
    56/15    0.001    0.000    0.021    0.001 typing.py:1464(__getitem__)
     2592    0.020    0.000    0.020    0.000 {method 'findall' of 're.Pattern' objects}
      621    0.013    0.000    0.020    0.000 _compiler.py:241(_optimize_charset)
        1    0.000    0.000    0.020    0.020 codegen.py:1(<module>)
        1    0.000    0.000    0.020    0.020 pythonapi.py:1(<module>)
        6    0.002    0.000    0.020    0.003 _docscrape.py:680(methods)
      665    0.002    0.000    0.020    0.000 typing.py:789(<genexpr>)
      735    0.003    0.000    0.020    0.000 ffi.py:139(__getattr__)
      645    0.011    0.000    0.020    0.000 typing.py:1825(__hash__)
        2    0.000    0.000    0.020    0.010 deprecation.py:208(_inner_deprecate_positional_args)
        1    0.000    0.000    0.020    0.020 ewm.py:1(<module>)
        1    0.000    0.000    0.020    0.020 _fit.py:1(<module>)
        1    0.000    0.000    0.019    0.019 _construct.py:1(<module>)
     9539    0.019    0.000    0.019    0.000 {method 'splitlines' of 'str' objects}
        1    0.000    0.000    0.019    0.019 _mstats_basic.py:1(<module>)
        1    0.000    0.000    0.018    0.018 _docscrape.py:1(<module>)
    10844    0.017    0.000    0.018    0.000 {built-in method builtins.setattr}
      283    0.002    0.000    0.018    0.000 dylib.py:15(add_symbol)
        1    0.000    0.000    0.018    0.018 typeof.py:1(<module>)
        4    0.009    0.002    0.018    0.005 _codata.py:1993(parse_constants_2002to2014)
      322    0.003    0.000    0.018    0.000 ffi.py:195(__call__)
     1301    0.006    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:694(_classify_pyc)
        1    0.000    0.000    0.018    0.018 _json.py:1(<module>)
      418    0.005    0.000    0.017    0.000 enum.py:354(__setitem__)
     9758    0.017    0.000    0.017    0.000 {method 'expandtabs' of 'str' objects}
      420    0.003    0.000    0.017    0.000 typing.py:1319(__init__)
        1    0.000    0.000    0.017    0.017 _multicomp.py:1(<module>)
        1    0.000    0.000    0.017    0.017 eval.py:1(<module>)
        1    0.000    0.000    0.017    0.017 _pickle.py:1(<module>)
     1932    0.004    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1497(_path_importer_cache)
        1    0.001    0.001    0.017    0.017 generic.py:247(NDFrame)
      129    0.006    0.000    0.017    0.000 _docscrape.py:290(_parse_see_also)
    12508    0.017    0.000    0.017    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
        2    0.000    0.000    0.016    0.008 utils.py:452(inner)
        1    0.001    0.001    0.016    0.016 base.py:147(_load_global_helpers)
        1    0.000    0.000    0.016    0.016 _basinhopping.py:1(<module>)
      581    0.002    0.000    0.016    0.000 inspect.py:3119(replace)
        1    0.000    0.000    0.016    0.016 _decomp_qr.py:1(<module>)
        3    0.000    0.000    0.016    0.005 _constants.py:1(<module>)
        1    0.000    0.000    0.016    0.016 _logsumexp.py:1(<module>)
        2    0.000    0.000    0.016    0.008 dtypes.py:1(<module>)
     3030    0.011    0.000    0.016    0.000 enum.py:695(__call__)
        1    0.000    0.000    0.016    0.016 _decomp_qz.py:1(<module>)
     3024    0.009    0.000    0.016    0.000 copy.py:192(_deepcopy_list)
       19    0.001    0.000    0.016    0.001 _decorators.py:294(decorate)
        1    0.000    0.000    0.016    0.016 overloads.py:1(<module>)
        3    0.001    0.000    0.016    0.005 _distribution_infrastructure.py:1368(_generate_example)
        1    0.000    0.000    0.016    0.016 _entropy.py:1(<module>)
      252    0.003    0.000    0.016    0.000 overrides.py:83(verify_matching_signatures)
        1    0.000    0.000    0.015    0.015 _solvers.py:1(<module>)
      237    0.006    0.000    0.015    0.000 enum.py:251(__set_name__)
        1    0.000    0.000    0.015    0.015 dylib.py:1(<module>)
        1    0.000    0.000    0.015    0.015 _decomp_cholesky.py:1(<module>)
        1    0.000    0.000    0.015    0.015 numpy_support.py:1(<module>)
      157    0.003    0.000    0.015    0.000 _compiler.py:514(_compile_info)
        1    0.000    0.000    0.015    0.015 __init__.py:336(Version)
 1881/565    0.010    0.000    0.015    0.000 _parser.py:177(getwidth)
      411    0.004    0.000    0.015    0.000 inspect.py:2114(_signature_bound_method)
     1520    0.009    0.000    0.015    0.000 <frozen importlib._bootstrap>:445(cb)
      193    0.002    0.000    0.015    0.000 typing.py:379(_remove_dups_flatten)
     3852    0.010    0.000    0.015    0.000 _parser.py:175(append)
        1    0.000    0.000    0.014    0.014 lowering.py:1(<module>)
        1    0.000    0.000    0.014    0.014 _stats_mstats_common.py:1(<module>)
     2926    0.010    0.000    0.014    0.000 <frozen importlib._bootstrap>:74(__new__)
      338    0.014    0.000    0.014    0.000 {built-in method builtins.eval}
     5210    0.011    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
     9857    0.014    0.000    0.014    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.014    0.014 _root.py:1(<module>)
  394/391    0.002    0.000    0.014    0.000 abstract.py:61(__call__)
        2    0.000    0.000    0.014    0.007 interval.py:1(<module>)
    10469    0.014    0.000    0.014    0.000 {built-in method _imp.acquire_lock}
      738    0.008    0.000    0.014    0.000 inspect.py:176(get_annotations)
     1309    0.014    0.000    0.014    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.014    0.014 containers.py:1(<module>)
    10469    0.014    0.000    0.014    0.000 {built-in method _imp.release_lock}
        3    0.000    0.000    0.014    0.005 readers.py:1(<module>)
        1    0.000    0.000    0.014    0.014 string_.py:1(<module>)
3231/3228    0.009    0.000    0.013    0.000 abstract.py:124(__eq__)
      319    0.004    0.000    0.013    0.000 function_base.py:487(add_newdoc)
        1    0.000    0.000    0.013    0.013 numerictypes.py:1(<module>)
     9889    0.013    0.000    0.013    0.000 _parser.py:239(__next)
       28    0.000    0.000    0.013    0.000 _basic.py:16(_dispatch)
       41    0.001    0.000    0.013    0.000 overloads.py:23(decorator)
       28    0.000    0.000    0.013    0.000 _backend.py:174(generate_multimethod)
        1    0.000    0.000    0.013    0.013 _qmc.py:1(<module>)
     7999    0.013    0.000    0.013    0.000 {method 'replace' of 'str' objects}
     2926    0.009    0.000    0.013    0.000 <frozen importlib._bootstrap>:82(remove)
      139    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1484(_path_hooks)
        2    0.000    0.000    0.013    0.006 _add_newdocs.py:1(<module>)
        2    0.006    0.003    0.013    0.006 _codata.py:2019(parse_constants_2018toXXXX)
     3306    0.008    0.000    0.013    0.000 _parser.py:163(__len__)
     1301    0.004    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1230(path_stats)
      782    0.007    0.000    0.012    0.000 inspect.py:764(unwrap)
      139    0.012    0.000    0.012    0.000 {built-in method builtins.compile}
    56/15    0.001    0.000    0.012    0.001 typing.py:1495(_determine_new_args)
        2    0.000    0.000    0.012    0.006 _internal.py:1(<module>)
        1    0.001    0.001    0.012    0.012 npydecl.py:1(<module>)
      293    0.000    0.000    0.012    0.000 ffi.py:132(_lib)
     2926    0.008    0.000    0.012    0.000 <frozen importlib._bootstrap>:173(__exit__)
        1    0.000    0.000    0.012    0.012 _mannwhitneyu.py:1(<module>)
      298    0.001    0.000    0.012    0.000 typing.py:351(_deduplicate)
       29    0.000    0.000    0.012    0.000 overloads.py:48(register_simple_overload)
    56/15    0.001    0.000    0.012    0.001 typing.py:1524(_make_substitution)
