,alpha_001,alpha_002,alpha_003,alpha_004,alpha_005,alpha_006,alpha_007,alpha_008,alpha_009,alpha_010,alpha_011,alpha_012,alpha_013,alpha_014,alpha_015,alpha_016,alpha_017,alpha_018,alpha_019,alpha_020,alpha_021,alpha_022,alpha_024,alpha_026,alpha_027,alpha_028,alpha_029,alpha_031,alpha_032,alpha_033,alpha_034,alpha_035,alpha_036,alpha_037,alpha_038,alpha_039,alpha_040,alpha_041,alpha_042,alpha_043,alpha_044,alpha_045,alpha_046,alpha_047,alpha_048,alpha_049,alpha_050,alpha_051,alpha_052,alpha_053,alpha_054,alpha_055,alpha_056,alpha_057,alpha_058,alpha_059,alpha_060,alpha_061,alpha_062,alpha_063,alpha_064,alpha_065,alpha_066,alpha_067,alpha_068,alpha_069,alpha_070,alpha_071,alpha_072,alpha_073,alpha_074,alpha_075,alpha_076,alpha_077,alpha_078,alpha_079,alpha_080,alpha_081,alpha_082,alpha_083,alpha_084,alpha_085,alpha_086,alpha_087,alpha_088,alpha_089,alpha_090,alpha_091,alpha_092,alpha_093,alpha_094,alpha_095,alpha_096,alpha_097,alpha_098,alpha_099,alpha_100,alpha_101,alpha_102,alpha_103,alpha_104,alpha_105,alpha_106,alpha_107,alpha_108,alpha_109,alpha_110,alpha_111,alpha_112,alpha_113,alpha_114,alpha_115,alpha_116,alpha_118,alpha_119,alpha_120,alpha_121,alpha_122,alpha_123,alpha_124,alpha_125,alpha_126,alpha_127,alpha_128,alpha_129,alpha_130,alpha_131,alpha_132,alpha_133,alpha_134,alpha_135,alpha_137,alpha_138,alpha_139,alpha_140,alpha_141,alpha_142,alpha_144,alpha_145,alpha_146,alpha_147,alpha_148,alpha_150,alpha_151,alpha_152,alpha_153,alpha_154,alpha_155,alpha_156,alpha_157,alpha_158,alpha_159,alpha_160,alpha_161,alpha_162,alpha_163,alpha_164,alpha_165,alpha_166,alpha_167,alpha_168,alpha_169,alpha_170,alpha_171,alpha_172,alpha_173,alpha_174,alpha_175,alpha_176,alpha_177,alpha_178,alpha_179,alpha_180,alpha_181,alpha_182,alpha_183,alpha_184,alpha_185,alpha_186,alpha_187,alpha_188,alpha_189,alpha_190,alpha_191
alpha_051,-0.40968,0.08690,0.19946,-0.21193,-0.31606,-0.44733,-0.08986,-0.19330,0.06414,0.00682,0.22278,-0.03314,-0.03221,0.19458,0.11658,-0.25683,0.00000,0.49595,0.51028,0.54032,0.25024,0.24634,0.28184,-0.25210,0.74417,0.57202,0.19803,0.65182,-0.04371,-0.21437,-0.66812,-0.41279,0.06118,-0.00928,-0.10252,0.03002,0.51456,-0.38436,-0.38867,0.30443,0.24570,0.19514,-0.67029,-0.82149,-0.22817,-1.00000,1.00000,1.00000,0.61747,0.64518,-0.03048,0.22377,-0.26240,0.80061,0.51639,-0.00122,0.29398,-0.32560,-0.19443,0.77380,-0.20081,-0.44015,0.43987,0.58598,0.07649,0.60741,0.19725,0.72480,-0.74082,-0.17723,0.16247,-0.27284,-0.04912,-0.12668,0.66973,0.79833,0.12096,0.04360,-0.65584,-0.09666,-0.35465,-0.03763,-0.35264,-0.25184,0.58247,0.27462,-0.19255,0.10007,-0.08873,-0.05851,-0.29353,0.10932,0.86558,0.09451,-0.17485,-0.10135,0.03900,-0.09230,0.16789,-0.56510,-0.03057,-0.15079,0.23327,0.10540,-0.00974,0.40137,0.61027,0.03854,0.93620,-0.12521,-0.00865,-0.00325,0.24999,0.57936,-0.02193,-0.38908,-0.30207,0.47058,-0.04944,0.00743,-0.20795,0.02182,-0.48726,0.82189,-0.07408,-0.09033,0.00944,0.06781,0.69067,0.26026,-0.16681,0.08965,-0.39037,-0.05381,0.02831,-0.08260,-0.10565,-0.08068,0.37477,0.06000,0.17469,-0.31404,0.18630,0.08639,-0.11823,-0.00972,-0.14615,0.14119,-0.17157,0.01196,-0.24337,-0.20920,0.03094,-0.05143,0.42527,0.00502,0.00500,0.00722,-0.31215,-0.07408,-0.24566,0.10682,-0.40800,-0.00985,0.36429,0.00487,-0.12249,0.02625,0.29923,-0.14675,0.03493,0.11211,-0.49874,-0.01851,0.05340,-0.00760,-0.12249,0.06127,0.28221,0.06347,-0.24376,0.04662,0.05385,-0.10007
alpha_052,-0.25826,0.04510,0.20265,-0.16397,-0.23650,-0.30064,-0.12216,-0.21150,0.08988,0.02266,0.15128,-0.07943,-0.03865,0.21567,0.10860,-0.22158,-0.00000,0.46135,0.45029,0.49847,0.24585,0.14262,0.29922,-0.23846,0.68567,0.33658,0.24845,0.57691,-0.00112,-0.20902,-0.56143,-0.18723,0.01497,0.00981,-0.15021,-0.00746,0.77127,-0.13628,-0.33279,0.25925,0.05842,0.03606,-0.62964,-0.67032,-0.11421,-0.61747,0.61747,0.61747,1.00000,0.45650,-0.06067,0.31877,-0.11298,0.51673,0.56627,0.02732,0.26255,-0.03223,-0.13545,0.61329,-0.04225,-0.39313,0.40634,0.79135,0.10889,0.68617,0.30205,0.76777,-0.73275,-0.02809,0.05438,-0.36821,-0.02762,-0.05741,0.49181,0.80052,0.10918,0.10524,-0.72548,0.02377,-0.43259,-0.11418,-0.12108,-0.05143,0.77574,0.20361,-0.03342,0.04932,-0.01974,-0.02188,-0.45505,0.28156,0.58816,0.13359,-0.14865,0.02001,0.11805,-0.03104,0.12339,-0.55112,-0.00300,-0.21684,0.34015,0.05951,-0.03128,0.33960,0.79574,0.01747,0.62080,-0.17171,-0.02106,0.06386,0.31022,0.70172,0.03060,-0.26289,-0.10596,0.75885,-0.03421,0.02041,0.00157,0.05391,-0.34478,0.61822,0.01636,-0.00178,-0.02274,0.21899,0.65859,0.32329,-0.52846,0.11342,-0.11452,-0.16445,0.05364,-0.03735,-0.01986,-0.17976,0.28697,0.06415,0.27946,-0.12370,0.31569,0.25465,-0.53382,-0.04080,-0.15902,0.06713,-0.07400,0.00726,-0.34412,-0.32831,0.10231,-0.12178,0.12574,0.01154,0.01358,0.06747,0.00650,0.01636,-0.18923,0.22595,-0.23471,-0.01821,0.46291,0.00442,-0.08827,0.02679,0.21728,-0.25695,0.00422,0.01558,-0.42566,-0.05791,0.09750,0.08204,-0.08827,0.04168,0.51085,0.15086,-0.48725,0.04280,-0.04988,-0.04932
alpha_053,-0.24729,-0.00114,0.20291,-0.18983,-0.20462,-0.35301,-0.06092,-0.15309,0.05441,0.01716,0.22326,-0.02929,-0.05461,0.15936,0.08048,-0.15193,-0.00000,0.40331,0.41345,0.43557,0.18804,0.20063,0.21009,-0.17880,0.54109,0.49373,0.16401,0.51931,-0.04326,-0.15842,-0.52840,-0.32194,0.06411,-0.08146,-0.08523,-0.03636,0.61310,-0.31528,-0.22659,0.36457,0.18790,0.17925,-0.52920,-0.65055,-0.28818,-0.64518,0.64518,0.64518,0.45650,1.00000,-0.08497,0.15368,-0.20593,0.63487,0.77363,0.01932,0.25416,-0.25305,-0.13416,0.63383,-0.14475,-0.37709,0.37801,0.44269,0.06181,0.48709,0.15842,0.54525,-0.58904,-0.05859,0.11425,-0.32864,-0.03710,-0.14655,0.51143,0.61391,0.08928,0.00039,-0.53064,-0.07143,-0.40225,-0.05271,-0.30561,-0.21758,0.43385,0.19531,-0.13904,0.12764,-0.09792,-0.02324,-0.33275,0.10441,0.65120,0.03484,-0.13765,-0.06274,-0.00546,-0.03509,0.14221,-0.38039,-0.03875,-0.13869,0.17132,0.10308,-0.03979,0.31408,0.44562,-0.02554,0.71791,-0.06074,-0.03591,-0.02597,0.17308,0.43189,-0.01252,-0.33544,-0.26193,0.34082,-0.02890,0.02359,-0.16023,0.03355,-0.27249,0.61903,-0.03033,-0.06959,0.05698,0.08981,0.47194,0.22002,-0.15372,0.09157,-0.29135,-0.09420,-0.03326,-0.01390,-0.14647,-0.01225,0.26542,0.07271,0.11334,-0.22867,0.17845,0.07702,-0.04535,-0.02529,-0.14528,0.11472,-0.11557,-0.01410,-0.23039,-0.22779,0.07278,-0.06578,0.40501,-0.10435,0.00845,0.00624,-0.00267,-0.03033,-0.19493,0.05042,-0.35999,-0.04341,0.32230,0.00263,-0.16053,0.03171,0.13725,-0.13115,-0.05572,0.07381,-0.40351,0.00182,0.12506,0.03235,-0.16053,-0.07959,0.25428,0.07561,-0.14592,0.04317,0.05365,-0.12764
alpha_054,-0.00133,0.39419,-0.09702,-0.01576,-0.04397,-0.02277,0.07888,0.06964,-0.03237,0.00242,-0.08573,0.00511,0.18204,-0.10484,0.00600,0.03733,-0.00000,-0.22231,-0.22009,-0.20418,-0.01376,-0.13407,-0.02810,0.18984,-0.03165,-0.16910,-0.08869,-0.24234,-0.02622,0.02275,0.23341,0.01922,-0.02804,0.18608,0.09088,0.10482,-0.08745,0.11946,0.18598,-0.09352,-0.08593,-0.30427,0.27054,0.02345,0.32298,0.03048,-0.03048,-0.03048,-0.06067,-0.08497,1.00000,-0.01830,0.03432,-0.08083,-0.04533,0.01184,-0.02272,0.15861,0.03113,-0.25483,0.05030,0.33551,-0.34002,-0.10839,-0.02126,0.02342,-0.06332,-0.15631,0.00036,-0.02314,-0.02757,0.03071,-0.00083,0.07383,-0.17012,-0.17948,-0.12869,-0.00302,-0.00796,-0.00688,0.02052,0.18573,0.21909,0.13835,-0.07389,-0.05046,0.07997,-0.27611,0.24960,0.01401,0.01881,-0.00120,0.01051,-0.03953,0.11935,0.01804,-0.00326,0.01231,-0.16561,-0.13404,0.04247,0.03477,-0.03517,0.00827,0.24204,-0.17292,-0.09855,0.20518,-0.10754,0.06134,0.19258,-0.03632,-0.00085,-0.09330,-0.03532,0.18638,0.12916,0.03195,0.04515,-0.09802,0.00890,0.00726,0.00338,-0.06048,0.02585,-0.03807,-0.24145,0.01764,0.00844,-0.06494,-0.04337,-0.22864,0.00755,0.08148,0.14074,0.05265,0.37154,-0.01612,-0.16575,-0.17680,0.01923,0.00805,-0.05659,0.01989,-0.02562,-0.01085,0.03687,-0.09811,0.08201,0.04964,0.10304,0.03196,0.00633,-0.00466,-0.29210,0.54225,0.00669,0.10967,0.03355,0.02585,0.20267,0.01543,0.28590,0.13658,0.00986,-0.00043,0.47001,0.00516,-0.03834,0.02462,0.35838,-0.11839,0.26327,-0.01143,-0.01224,0.09943,0.47001,0.50029,0.04884,0.02035,-0.11331,-0.06188,-0.09012,0.27611
alpha_055,-0.09221,0.01017,0.48131,-0.05455,-0.08678,-0.10840,-0.09819,-0.43913,0.46583,0.13702,0.02967,-0.38017,-0.03195,0.46184,0.01640,-0.08233,-0.00000,0.23329,0.21750,0.25726,0.61157,0.04915,0.75208,-0.49450,0.38637,0.12332,0.04248,0.29579,-0.00047,-0.41723,-0.27958,-0.07267,0.00846,0.03052,-0.27317,0.04741,0.22808,-0.05812,-0.11284,0.03380,0.01587,-0.00633,-0.31931,-0.25287,-0.02292,-0.22377,0.22377,0.22377,0.31877,0.15368,-0.01830,1.00000,-0.04923,0.19545,0.20614,0.06898,0.05473,-0.02764,-0.05291,0.21826,-0.03059,-0.18286,0.19422,0.25846,0.66243,0.25094,0.23266,0.42616,-0.26433,-0.02507,0.02334,-0.17382,0.02069,-0.02296,0.16844,0.27405,0.01113,0.01026,-0.25288,-0.00367,-0.06591,-0.04195,-0.04042,-0.03215,0.47877,0.54257,-0.02268,0.00202,0.00583,0.02739,-0.05561,0.23345,0.22590,0.00905,-0.21973,-0.00622,0.00741,-0.01852,0.03107,-0.21721,-0.00173,-0.07214,0.96430,0.01593,0.00226,0.12690,0.27095,0.00189,0.22913,-0.05080,-0.08785,0.00771,0.88404,0.31894,0.01107,-0.09774,-0.04921,0.25442,-0.02228,-0.00039,-0.00674,0.13649,-0.14944,0.20251,0.20512,-0.01535,-0.00957,0.21639,0.24908,0.06274,-0.27879,0.23409,-0.07609,-0.04715,0.03239,-0.00912,-0.00554,-0.05192,0.10694,0.01060,0.84644,-0.06924,0.29034,0.60945,-0.24884,-0.10844,-0.04806,0.00525,-0.03986,0.02160,-0.19114,-0.11158,0.35321,-0.39978,0.04475,0.01412,-0.00048,0.02579,-0.00459,0.20512,-0.04541,0.67957,-0.08286,-0.01328,0.19410,0.00522,-0.07207,0.00201,0.08043,-0.66184,-0.00112,0.00895,-0.14323,-0.00564,0.01615,0.03385,-0.07207,0.00867,0.21261,0.42315,-0.21444,0.00212,-0.03478,-0.00202
alpha_056,0.15868,-0.14026,-0.11115,0.15445,0.08605,0.28988,0.03374,0.11419,-0.03503,0.00183,-0.12670,0.01817,0.00727,-0.10685,-0.09481,0.03643,-0.00000,-0.25278,-0.26223,-0.25620,-0.09636,-0.21747,-0.09899,0.14411,-0.19805,-0.35179,-0.08459,-0.27141,0.05154,0.10216,0.27797,0.23666,-0.07242,0.21045,0.05468,0.09428,-0.09904,0.31988,0.12342,-0.14887,-0.22883,-0.13803,0.24785,0.24319,0.22554,0.26240,-0.26240,-0.26240,-0.11298,-0.20593,0.03432,-0.04923,1.00000,-0.33366,-0.09861,0.01060,-0.04892,0.23695,0.06424,-0.25091,0.12658,0.23450,-0.23238,-0.01122,-0.03247,-0.11793,-0.05480,-0.20046,0.17642,0.04402,0.20257,0.05077,0.00488,0.10994,-0.31512,-0.14422,-0.06203,-0.01440,0.14318,0.04108,0.06050,0.10314,0.19570,0.22829,-0.10527,-0.11579,0.07702,-0.12190,0.21911,0.03003,0.06331,0.00128,-0.26170,-0.03256,0.10315,0.07490,-0.00409,-0.02464,-0.00859,0.02917,0.04718,0.00098,-0.04959,-0.15497,-0.03770,-0.14208,-0.10534,-0.01237,-0.26423,0.04556,-0.01528,0.03191,-0.04137,-0.10509,0.02300,0.10680,0.30578,-0.01542,0.00237,0.00985,0.23063,0.00614,0.07764,-0.20743,0.03664,0.09343,-0.14927,0.00654,-0.10276,-0.08116,-0.00371,-0.04065,0.20893,-0.01370,0.05846,0.02770,0.02890,0.00103,-0.17048,-0.01269,0.00355,0.08009,-0.03692,0.01037,-0.03797,-0.00671,0.10109,-0.07622,0.06761,0.09367,0.06565,0.06521,0.03999,-0.00232,-0.32785,-0.00444,0.00210,-0.02273,0.02179,0.03664,0.12519,-0.01500,0.25824,0.00245,-0.04703,-0.00231,0.05259,0.00365,-0.09838,0.04096,-0.07235,-0.06587,0.22647,0.00389,-0.01631,0.02736,0.05259,-0.04091,0.01738,0.00229,-0.02242,-0.01375,-0.06432,0.12190
alpha_057,-0.45081,0.05119,0.26467,-0.30182,-0.26295,-0.61535,-0.07558,-0.23468,0.07632,0.00541,0.36309,-0.03763,-0.05399,0.24318,0.07968,-0.14827,0.00000,0.61447,0.64003,0.66430,0.28393,0.38502,0.29381,-0.29092,0.67724,0.89611,0.21551,0.73073,-0.08622,-0.23637,-0.75270,-0.44298,0.15113,-0.29820,-0.10543,-0.17470,0.46128,-0.58394,-0.22976,0.39471,0.39658,0.25566,-0.70696,-0.90169,-0.33604,-0.80061,0.80061,0.80061,0.51673,0.63487,-0.08083,0.19545,-0.33366,1.00000,0.50184,-0.01337,0.32655,-0.43185,-0.12355,0.85310,-0.22319,-0.53790,0.53513,0.52647,0.08224,0.49444,0.15269,0.68483,-0.76058,-0.07865,0.16555,-0.29494,-0.01757,-0.18123,0.78650,0.77769,0.14354,0.02892,-0.65679,-0.11172,-0.32505,-0.16917,-0.44014,-0.45305,0.50487,0.28142,-0.21322,0.18801,-0.21969,-0.05963,-0.26566,0.05172,0.92219,0.05260,-0.19055,-0.15914,0.00907,-0.02514,0.19939,-0.43306,-0.04737,0.01584,0.20526,0.13054,0.03441,0.40586,0.48167,-0.02640,0.82726,-0.11957,-0.04544,-0.04412,0.19259,0.47580,-0.01445,-0.46364,-0.41621,0.32846,-0.01750,0.02849,-0.29318,0.00667,-0.38554,0.69887,-0.07792,-0.09202,0.05899,0.03500,0.54022,0.22761,-0.10085,0.10939,-0.44796,0.07777,-0.05121,-0.04144,-0.21650,-0.04076,0.29982,0.09412,0.10108,-0.31957,0.15964,0.06150,-0.04498,0.00510,-0.15425,0.16898,-0.22476,-0.17077,-0.21699,-0.16108,0.02466,-0.03195,0.67108,-0.05390,0.00372,-0.00149,-0.33526,-0.07792,-0.25398,0.05435,-0.57442,-0.04670,0.29181,0.00214,-0.19780,0.02494,0.29303,-0.13182,-0.00782,0.11581,-0.56206,-0.00019,0.02065,-0.00409,-0.19780,-0.05732,0.19368,0.04584,-0.14508,0.05389,0.09746,-0.18801
alpha_058,-0.20179,-0.01337,0.15713,-0.16850,-0.19017,-0.28082,-0.06750,-0.12063,0.04699,0.02220,0.17706,-0.02419,-0.04812,0.12634,0.05992,-0.16102,-0.00000,0.32689,0.32998,0.35355,0.14924,0.10076,0.18439,-0.14422,0.48951,0.34405,0.13355,0.41816,-0.02977,-0.12640,-0.41888,-0.16508,0.04174,0.05450,-0.07349,0.02595,0.75554,-0.14737,-0.22355,0.27799,0.04320,0.04623,-0.47412,-0.62512,-0.08871,-0.51639,0.51639,0.51639,0.56627,0.77363,-0.04533,0.20614,-0.09861,0.50184,1.00000,0.03159,0.31900,-0.06636,-0.13316,0.55180,-0.08771,-0.29896,0.30289,0.54086,0.06060,0.65105,0.17865,0.55351,-0.64314,-0.05389,0.07148,-0.40309,-0.05710,-0.09935,0.42592,0.62507,0.06115,0.00565,-0.61881,-0.04452,-0.51623,-0.09909,-0.08296,-0.07956,0.57645,0.13897,-0.08499,0.04966,0.00220,-0.01944,-0.41870,0.15866,0.55588,0.02629,-0.10974,-0.04464,0.00728,-0.05858,0.09315,-0.51170,-0.02087,-0.18612,0.23148,0.05314,-0.03146,0.23723,0.56422,-0.01171,0.55336,-0.08120,-0.03361,0.00538,0.20929,0.54078,0.01223,-0.28222,-0.11722,0.49560,-0.03262,0.02438,-0.03182,0.04537,-0.27192,0.57828,0.01722,-0.04825,0.00567,0.14864,0.59067,0.18711,-0.29990,0.07331,-0.17890,-0.13982,0.03527,-0.02139,-0.06539,-0.03359,0.22399,0.04841,0.19233,-0.14446,0.20109,0.14311,-0.23397,-0.03720,-0.15516,0.04075,-0.06758,0.03872,-0.24578,-0.28091,0.09731,-0.09014,0.20904,-0.02859,0.00816,0.04614,0.00399,0.01722,-0.12747,0.13204,-0.23957,-0.04334,0.37132,0.00130,-0.07095,0.03611,0.14080,-0.14570,-0.03085,0.04847,-0.33626,-0.00484,0.17587,0.05176,-0.07095,-0.02968,0.38873,0.11382,-0.29583,0.03088,-0.01935,-0.04966
alpha_059,0.01049,0.00013,0.05592,0.00842,0.01858,0.00719,-0.03631,-0.04994,0.07413,0.87792,0.00600,-0.07225,-0.01325,0.05334,-0.01177,0.02805,-0.00000,0.01288,0.00574,0.01561,0.09219,-0.03053,0.12471,-0.01517,0.03627,-0.01370,-0.01702,0.01550,0.00298,0.06459,-0.00716,0.01780,0.00451,0.00214,-0.16840,-0.02681,0.02753,0.00932,0.01904,-0.01717,-0.00249,-0.01828,-0.01180,0.01721,0.01027,0.00122,-0.00122,-0.00122,0.02732,0.01932,0.01184,0.06898,0.01060,-0.01337,0.03159,1.00000,0.00783,0.00081,0.01567,-0.00956,0.00689,-0.00041,0.00620,0.02061,0.13880,0.03505,0.28183,0.03556,0.00918,-0.00159,-0.01230,0.04852,-0.00811,0.00277,-0.00405,0.00278,-0.01746,-0.17312,0.00095,0.00371,0.03267,-0.00139,-0.09608,0.00785,0.05464,-0.05463,0.00892,-0.00857,-0.00338,0.79580,0.03624,0.30444,-0.01082,-0.13897,-0.21872,0.00799,-0.14483,-0.00965,-0.00522,-0.00657,0.00200,0.02460,0.18704,0.00375,0.00048,-0.00710,0.03123,-0.00169,-0.00924,0.00392,0.07093,-0.00721,0.17483,0.06358,0.00236,0.00734,0.00691,0.01743,-0.01196,0.01901,-0.00288,0.99638,0.11915,-0.00994,0.76600,0.00217,0.00352,0.38983,0.00264,-0.02022,-0.11977,-0.01013,-0.00250,0.02855,0.00809,-0.00152,0.01034,-0.13962,-0.00676,-0.00637,0.18922,-0.00553,0.34049,0.36445,0.00774,-0.99871,-0.05393,-0.00758,-0.00496,-0.00074,-0.13890,-0.13222,0.73618,-0.78566,-0.02129,0.00813,-0.00852,-0.00452,0.00399,0.76600,0.01370,0.02734,0.00620,-0.03354,0.00846,0.00301,0.04250,0.01719,0.00030,-0.50208,0.00234,-0.00147,0.00949,0.00110,0.09570,0.01016,0.04250,0.00415,0.01684,0.75941,0.00707,-0.00888,0.01646,0.00857
alpha_060,-0.12855,-0.00596,0.03525,-0.09277,-0.05439,-0.15669,-0.04339,-0.02918,0.00363,0.00446,0.57466,-0.00398,-0.01396,0.03098,0.00549,-0.02612,0.00000,0.19480,0.19506,0.21382,0.03662,0.07606,0.04544,-0.05974,0.28405,0.22938,0.20520,0.24742,0.00021,-0.03904,-0.24631,-0.06621,0.02832,0.00955,-0.01963,-0.00786,0.27072,-0.10301,-0.06680,0.33479,0.03862,0.04156,-0.27209,-0.40915,-0.05396,-0.29398,0.29398,0.29398,0.26255,0.25416,-0.02272,0.05473,-0.04892,0.32655,0.31900,0.00783,1.00000,-0.06278,-0.00637,0.30164,-0.06161,-0.17635,0.17913,0.30279,0.00521,0.28281,0.03260,0.31424,-0.41162,-0.01948,0.06741,-0.19776,-0.06001,-0.05021,0.23275,0.34408,0.03541,-0.12485,-0.38824,-0.02571,-0.53904,-0.06374,-0.03901,-0.06249,0.32955,0.03270,-0.06260,0.02089,0.02926,-0.00402,-0.41557,-0.00585,0.35687,-0.11383,-0.05454,-0.03736,-0.18122,-0.01889,0.04699,-0.26390,-0.00780,-0.01901,0.05850,0.02480,-0.00548,0.12782,0.14187,-0.03282,0.29889,-0.03915,-0.01610,0.01404,0.05216,0.21148,0.00399,-0.13680,-0.05773,0.31900,0.00854,0.00803,0.00202,0.01190,-0.20437,0.29752,0.00468,-0.01749,-0.00486,0.01531,0.31165,0.24432,-0.14279,0.01938,-0.11759,0.01566,0.04312,-0.03105,-0.03965,0.01414,0.09702,0.04809,0.04848,-0.08793,0.06838,0.03771,-0.13836,-0.00978,-0.02528,0.11510,-0.04739,0.01357,-0.09173,-0.07457,0.01664,-0.02021,0.12586,-0.01751,-0.01062,-0.01623,-0.01677,0.00468,-0.06220,0.03406,-0.14068,-0.02696,0.15740,-0.00002,-0.07904,0.04414,0.09354,-0.03539,-0.00792,0.03799,-0.18316,0.00430,0.03679,0.01029,-0.07904,-0.00742,0.15953,0.02713,-0.18383,0.03251,-0.00223,-0.02089
alpha_061,0.24851,-0.06449,-0.15721,0.11769,0.12287,0.34822,0.05116,0.15432,-0.04963,-0.00580,-0.20728,0.02283,0.05611,-0.15096,-0.09186,0.12454,-0.00000,-0.39961,-0.41447,-0.41427,-0.13489,-0.43803,-0.12693,0.18719,-0.26917,-0.50221,-0.14211,-0.43329,0.06294,0.12456,0.44882,0.40510,-0.14314,0.36663,0.09946,0.25367,-0.02298,0.51201,0.22926,-0.24387,-0.40685,-0.37147,0.37365,0.26337,0.37944,0.32560,-0.32560,-0.32560,-0.03223,-0.25305,0.15861,-0.02764,0.23695,-0.43185,-0.06636,0.00081,-0.06278,1.00000,0.05706,-0.41498,0.20785,0.38936,-0.38300,-0.14484,-0.04087,-0.02103,-0.05525,-0.25297,0.14119,0.07765,-0.20965,0.00578,0.03207,0.08061,-0.49259,-0.27960,-0.20012,0.03019,0.08582,0.09502,0.04097,0.10207,0.38705,0.42116,-0.06302,-0.17130,0.21949,-0.27633,0.38289,0.03598,-0.01994,0.05107,-0.29728,-0.00971,0.12142,0.14464,0.03843,-0.02342,-0.25374,-0.02291,0.02039,-0.03152,-0.02962,-0.18810,-0.00788,-0.30758,-0.09792,0.04917,-0.34701,0.04852,0.01755,-0.05740,-0.02524,-0.10364,-0.08078,0.18429,0.29070,0.13373,0.03074,-0.00768,0.26404,-0.00954,0.14900,-0.24498,0.06931,-0.01581,-0.01221,0.06896,-0.06539,-0.13087,-0.20406,-0.09441,0.29326,0.02425,0.09311,0.07065,0.23722,-0.04251,-0.17388,-0.07354,0.05012,0.24884,-0.05631,0.06755,-0.28555,0.00312,-0.00289,-0.21265,0.18690,0.18127,0.10325,-0.03280,0.00950,-0.01489,-0.53669,0.15499,-0.00994,0.09532,0.02345,0.06931,0.29149,0.06613,0.43910,0.02280,-0.03654,0.00533,0.20383,0.00173,-0.16403,0.04738,-0.00968,-0.15467,0.38779,-0.00655,0.02841,0.07183,0.20383,0.06180,0.08937,0.02195,-0.25730,-0.10587,-0.19129,0.27633
alpha_062,0.24989,0.01424,-0.04592,0.16252,0.46295,0.10673,0.10420,0.05444,-0.02399,0.01341,0.01178,0.00578,0.03677,-0.04776,-0.08614,0.45372,-0.00000,-0.12739,-0.13745,-0.14051,-0.03454,-0.08961,-0.04465,0.07894,-0.13562,-0.11519,-0.05195,-0.18696,0.22400,0.08840,0.20182,0.10881,-0.27200,0.04337,0.04966,0.03691,-0.12644,0.10498,0.34821,-0.05939,-0.05677,-0.09852,0.22246,0.09998,0.08089,0.19443,-0.19443,-0.19443,-0.13545,-0.13416,0.03113,-0.05291,0.06424,-0.12355,-0.13316,0.01567,-0.00637,0.05706,1.00000,-0.24278,0.42197,0.19575,-0.19060,-0.14404,-0.02003,-0.21062,-0.11270,-0.18088,0.09011,0.10855,-0.34421,0.04813,0.03082,0.00224,-0.25176,-0.21646,-0.00891,-0.03575,0.07837,0.62141,0.08775,0.25154,0.10854,0.08523,-0.14454,-0.05521,0.57104,-0.09808,0.05877,0.02957,0.08125,-0.07081,-0.11005,-0.05905,0.07658,0.49691,-0.05368,0.16481,-0.00423,0.19540,0.49621,0.37229,-0.05622,-0.07483,0.10389,-0.02460,-0.17823,0.06351,-0.20768,0.15215,0.02512,0.20584,-0.04558,-0.15129,0.08813,0.13616,0.03864,-0.09821,0.21370,-0.02060,0.01698,0.01013,0.04341,-0.17643,0.02140,0.19541,-0.13762,-0.04480,-0.18897,-0.05334,0.04971,-0.07883,0.04682,0.32318,0.04223,0.06465,0.18321,0.05398,-0.06035,-0.01151,-0.03309,0.10298,-0.05029,-0.00992,0.05512,-0.01405,0.07372,0.01931,-0.05450,0.02201,0.04812,0.07456,-0.00506,0.00493,-0.15363,0.12829,-0.00790,-0.02498,0.09159,0.02140,0.02624,-0.02724,0.22983,0.01953,-0.03620,0.00255,0.08907,-0.01322,-0.41031,0.01466,0.06232,-0.31871,0.23820,0.01407,-0.10937,0.01289,0.08907,0.07656,-0.05689,-0.01228,0.05260,-0.01477,0.03248,0.09808
